TRIP_EVNT_TYPE_DESC_CD,TRIP_EVNT_DATA_TXT,timestamp
ACCELERATION,6.269938495621681,282.52783203125
RAW_ACCELERATION,6.269938495621681,282.52783203125
RAW_ACCELERATION,6.079617178750039,283.52783203125
RAW_ACCELERATION,6.3634383704900745,783.52783203125
ACCELERATION,6.3634383704900745,783.52783203125
RAW_ACCELERATION,6.191884867920876,828.52783203125
ACCELERATION,6.191884867920876,828.52783203125
ACCELERATION,7.05048917248726,912.52783203125
RAW_ACCELERATION,7.05048917248726,912.52783203125
RAW_ACCELERATION,7.764234110360146,913.52783203125
DISTRACTED,PASSIVE,1027.52783203125
RAW_SPEEDING,44.9965723828125,1053.52783203125
SPEEDING,44.9965723828125,1053.52783203125
BRAKE,-6.68367573524475,1127.52783203125
RAW_BRAKE,-6.68367573524475,1127.52783203125
DISTRACTED,PASSIVE,1161.52783203125
DISTRACTED,PASSIVE,1251.52783203125
